,Correlation
Land area,0.7049089900419916
Feature,0.3214953781056789
Category,0.3110425190275998
Location,0.07102954147265227
Year,0.04699056643208731
Age of the property in years,0.005574174335358856
Renovation status,-0.00010936311091261689
