iter	Passed	Remaining
614	935	585
615	936	583
616	938	582
617	939	580
618	941	579
619	942	577
620	944	576
621	945	574
622	946	573
623	948	571
624	949	569
625	951	568
626	952	566
627	954	565
628	955	563
629	957	562
630	958	560
631	960	559
632	961	557
633	963	556
634	964	554
635	966	552
636	967	551
637	969	549
638	970	548
639	972	546
640	973	545
641	975	543
642	976	542
643	978	540
644	979	539
645	981	537
646	982	536
647	984	534
648	985	533
649	987	531
650	988	530
651	990	528
652	991	526
653	993	525
654	994	523
655	996	522
656	997	520
657	999	519
658	1000	517
659	1002	516
660	1003	514
661	1005	513
662	1006	511
663	1007	510
664	1009	508
665	1011	507
666	1012	505
667	1014	504
668	1015	502
669	1017	501
670	1018	499
671	1020	498
672	1022	496
673	1023	495
674	1025	493
675	1026	492
676	1028	490
677	1029	489
678	1031	487
679	1032	486
680	1034	484
681	1035	482
682	1037	481
683	1038	479
684	1040	478
685	1041	476
686	1043	475
687	1044	473
688	1046	472
689	1047	470
690	1048	469
691	1050	467
692	1051	465
693	1053	464
694	1054	462
695	1056	461
696	1057	459
697	1059	458
698	1060	456
699	1062	455
700	1064	453
701	1065	452
702	1067	450
703	1068	449
704	1070	447
705	1071	446
706	1073	444
707	1074	443
708	1076	441
709	1077	440
710	1079	438
711	1080	437
712	1082	435
713	1083	434
714	1085	432
715	1086	431
716	1088	429
717	1089	428
718	1091	426
719	1092	424
720	1094	423
721	1095	421
722	1097	420
723	1098	418
724	1100	417
725	1101	415
726	1104	414
727	1106	413
728	1107	411
729	1109	410
730	1110	408
731	1112	407
732	1113	405
733	1115	404
734	1116	402
735	1118	401
736	1120	399
737	1122	398
738	1124	397
739	1125	395
740	1127	394
741	1129	392
742	1131	391
743	1133	390
744	1135	388
745	1137	387
746	1138	385
747	1139	384
748	1141	382
749	1142	380
750	1144	379
751	1145	377
752	1147	376
753	1148	374
754	1150	373
755	1151	371
756	1153	370
757	1154	368
758	1156	367
759	1157	365
760	1159	364
761	1160	362
762	1162	361
763	1163	359
764	1165	358
765	1167	356
766	1168	354
767	1170	353
768	1171	351
769	1173	350
770	1174	348
771	1176	347
772	1178	345
773	1179	344
774	1181	342
775	1183	341
776	1184	339
777	1186	338
778	1187	336
779	1189	335
780	1190	333
781	1192	332
782	1193	330
783	1195	329
784	1196	327
785	1197	326
786	1199	324
787	1201	323
788	1202	321
789	1204	320
790	1205	318
791	1206	316
792	1208	315
793	1210	313
794	1211	312
795	1213	310
796	1214	309
797	1216	307
798	1217	306
799	1219	304
800	1220	303
801	1222	301
802	1224	300
803	1225	298
804	1227	297
805	1228	295
806	1230	294
807	1231	292
808	1233	291
809	1234	289
810	1236	288
811	1237	286
812	1239	285
813	1240	283
814	1242	282
815	1244	280
816	1245	279
817	1247	277
818	1248	275
819	1250	274
820	1251	272
821	1253	271
822	1255	269
823	1256	268
824	1258	266
825	1259	265
826	1261	263
827	1262	262
828	1264	260
829	1265	259
830	1267	257
831	1268	256
832	1270	254
833	1271	253
834	1273	251
835	1274	250
836	1276	248
837	1277	247
838	1279	245
839	1280	243
840	1282	242
841	1283	240
842	1285	239
843	1286	237
844	1288	236
845	1289	234
846	1291	233
847	1292	231
848	1294	230
849	1295	228
850	1297	227
851	1299	225
852	1301	224
853	1302	222
854	1304	221
855	1305	219
856	1307	218
857	1309	216
858	1311	215
859	1312	213
860	1314	212
861	1315	210
862	1316	209
863	1318	207
864	1319	205
865	1321	204
866	1322	202
867	1324	201
868	1325	199
869	1327	198
870	1328	196
871	1330	195
872	1331	193
873	1333	192
874	1334	190
875	1336	189
876	1337	187
877	1338	186
878	1340	184
879	1341	182
880	1343	181
881	1344	179
882	1346	178
883	1347	176
884	1349	175
885	1350	173
886	1352	172
887	1353	170
888	1355	169
889	1356	167
890	1357	166
891	1359	164
892	1361	163
893	1362	161
894	1364	160
895	1365	158
896	1366	156
897	1368	155
898	1369	153
899	1371	152
900	1372	150
901	1373	149
902	1375	147
903	1377	146
904	1378	144
905	1380	143
906	1381	141
907	1383	140
908	1385	138
909	1386	137
910	1387	135
911	1389	134
912	1390	132
913	1392	130
914	1393	129
915	1395	127
916	1396	126
917	1397	124
918	1399	123
919	1400	121
920	1402	120
921	1403	118
922	1405	117
923	1407	115
924	1408	114
925	1409	112
926	1411	111
927	1412	109
928	1414	108
929	1415	106
930	1417	105
931	1418	103
932	1419	101
933	1421	100
934	1422	98
935	1424	97
936	1425	95
937	1427	94
938	1429	92
939	1430	91
940	1431	89
941	1433	88
942	1434	86
943	1436	85
944	1437	83
945	1439	82
946	1440	80
947	1441	79
948	1443	77
949	1444	76
950	1446	74
951	1447	72
952	1449	71
953	1450	69
954	1451	68
955	1453	66
956	1454	65
957	1455	63
958	1457	62
959	1458	60
960	1460	59
961	1461	57
962	1463	56
963	1465	54
964	1466	53
965	1468	51
966	1469	50
967	1471	48
968	1472	47
969	1474	45
970	1475	44
971	1477	42
972	1478	41
973	1480	39
974	1481	37
975	1483	36
976	1485	34
977	1486	33
978	1488	31
979	1489	30
980	1491	28
981	1493	27
982	1494	25
983	1496	24
984	1497	22
985	1499	21
986	1500	19
987	1502	18
988	1504	16
989	1505	15
990	1507	13
991	1508	12
992	1510	10
993	1511	9
994	1513	7
995	1515	6
996	1516	4
997	1518	3
998	1519	1
999	1521	0
