iter	RMSE
528	107872.5577
529	107856.2105
530	107824.1727
531	107766.6615
532	107708.5368
533	107674.6399
534	107643.0524
535	107614.0699
536	107549.7499
537	107513.1231
538	107486.4254
539	107454.164
540	107438.4254
541	107414.3517
542	107399.2572
543	107384.7494
544	107355.9646
545	107288.9965
546	107226.4986
547	107204.6021
548	107190.5448
549	107158.1147
550	107129.1212
551	107124.7446
552	107082.1445
553	107040.167
554	106991.0266
555	106928.7934
556	106903.6774
557	106873.8421
558	106844.81
559	106798.9329
560	106770.6732
561	106709.4028
562	106622.5094
563	106599.9149
564	106562.4312
565	106557.7517
566	106532.2443
567	106505.332
568	106477.7696
569	106432.3416
570	106381.415
571	106354.6384
572	106280.3955
573	106255.6697
574	106231.6075
575	106223.053
576	106199.5
577	106130.4489
578	106097.3247
579	106074.5257
580	106050.3513
581	106029.3004
582	106005.5329
583	105971.5942
584	105960.3957
585	105949.6269
586	105927.91
587	105877.8191
588	105867.4594
589	105845.629
590	105824.963
591	105757.1621
592	105710.1745
593	105692.0196
594	105630.7523
595	105609.0388
596	105587.9101
597	105537.1686
598	105515.7232
599	105495.7013
600	105488.5411
601	105469.5056
602	105449.273
603	105402.1447
604	105396.1909
605	105386.8484
606	105349.6877
607	105330.5668
608	105314.7347
609	105260.8482
610	105204.7892
611	105186.8304
612	105175.6135
613	105119.0706
614	105077.2889
615	105035.0849
616	104986.7198
617	104974.0645
618	104955.9411
619	104915.9014
620	104895.7104
621	104890.3781
622	104874.325
623	104857.1703
624	104830.3172
625	104814.5653
626	104805.8728
627	104723.1706
628	104706.1011
629	104692.1561
630	104641.7173
631	104608.2392
632	104599.8342
633	104573.3432
634	104543.4691
635	104517.9868
636	104509.8995
637	104499.7467
638	104492.0253
639	104448.2655
640	104443.4139
641	104412.251
642	104404.7902
643	104365.3144
644	104314.0129
645	104296.0207
646	104271.943
647	104247.2629
648	104226.6882
649	104190.5108
650	104167.0958
651	104148.2203
652	104118.9677
653	104111.9572
654	104107.3151
655	104059.0483
656	104045.1913
657	104000.4604
658	103968.0559
659	103956.5835
660	103945.816
661	103929.5428
662	103906.1815
663	103898.8982
664	103860.4762
665	103828.5051
666	103793.7808
667	103777.5293
668	103760.638
669	103749.3777
670	103727.3306
671	103696.4844
672	103638.6899
673	103623.106
674	103618.4575
675	103597.1103
676	103564.8212
677	103539.4694
678	103525.9224
679	103520.2588
680	103508.6932
681	103476.5256
682	103458.167
683	103449.6782
684	103447.2799
685	103441.0711
686	103393.0919
687	103374.3521
688	103367.7838
689	103361.5292
690	103355.4407
691	103353.2862
692	103351.191
693	103343.2349
694	103322.5484
695	103299.2134
696	103293.9885
697	103254.5302
698	103248.9329
699	103227.301
700	103207.5084
701	103188.9801
702	103173.8644
703	103166.5712
704	103159.8163
705	103124.2688
706	103112.4296
707	103108.2986
708	103077.0076
709	103075.0198
710	103064.5001
711	103036.1082
712	103025.0302
713	103012.5286
714	103008.5126
715	102986.8696
716	102939.1285
717	102907.6264
718	102879.2962
719	102877.3936
720	102863.6632
721	102845.7235
722	102817.228
723	102792.2233
724	102758.5543
725	102756.7006
726	102736.103
727	102734.3002
728	102721.6087
729	102706.7614
730	102697.7273
731	102691.7231
732	102687.8858
733	102681.1722
734	102677.7917
735	102620.8518
736	102609.8313
737	102605.5957
738	102599.0774
739	102585.9624
740	102584.3126
741	102570.1301
742	102566.2406
743	102554.7796
744	102538.1714
745	102519.2884
746	102515.6246
747	102492.6196
748	102471.0549
749	102456.9864
750	102452.6365
751	102447.454
752	102431.6443
753	102406.3658
754	102399.1842
755	102390.9221
756	102378.3933
757	102358.3475
758	102347.5077
759	102323.7104
760	102312.6316
761	102307.8358
762	102288.9186
763	102267.897
764	102261.4916
765	102225.798
766	102217.2858
767	102209.5272
768	102197.9579
769	102181.6185
770	102175.2242
771	102165.2127
772	102148.763
773	102141.1992
774	102115.2874
775	102106.4534
776	102101.3413
777	102085.5794
778	102063.1565
779	102055.4493
780	102042.2333
781	102031.9559
782	101992.9501
783	101951.3144
784	101910.8844
785	101873.0198
786	101856.354
787	101841.6126
788	101816.3725
789	101801.8164
790	101793.5099
791	101789.7391
792	101757.6798
793	101741.022
794	101710.0819
795	101690.279
796	101679.9151
797	101675.2849
798	101672.1644
799	101653.4447
800	101644.156
801	101641.6165
802	101619.1873
803	101597.6081
804	101568.6493
805	101535.7488
806	101532.2383
807	101529.048
808	101522.3524
809	101502.8034
810	101480.6765
811	101477.8144
812	101470.2836
813	101462.135
814	101458.58
815	101428.3581
816	101423.0176
817	101403.4348
818	101379.544
819	101358.7144
820	101335.0137
821	101320.221
822	101311.5215
823	101299.4577
824	101282.8264
825	101256.8201
826	101245.6855
827	101230.1822
828	101217.9572
829	101200.9093
830	101186.9988
831	101179.9859
832	101159.611
833	101133.6448
834	101127.2179
835	101123.8037
836	101117.3868
837	101108.0561
838	101083.7937
839	101075.7449
840	101067.6405
841	101054.1164
842	101047.0543
843	101035.6653
844	101016.9315
845	100985.9584
846	100971.3408
847	100944.0475
848	100928.1092
849	100910.827
850	100895.4019
851	100878.5328
852	100865.4169
853	100841.255
854	100824.2696
855	100816.0599
856	100813.0081
857	100810.3225
858	100789.2196
859	100770.2182
860	100764.1924
861	100753.9102
862	100746.7302
863	100719.3208
864	100693.5758
865	100687.4011
866	100677.6184
867	100663.1984
868	100653.3454
869	100647.6462
870	100643.731
871	100637.2221
872	100623.1255
873	100614.0932
874	100605.316
875	100576.4695
876	100567.9276
877	100559.0861
878	100534.6324
879	100526.5509
880	100518.6967
881	100507.1138
882	100499.4727
883	100490.2907
884	100487.3182
885	100478.4147
886	100467.5408
887	100455.3903
888	100448.3979
889	100445.8412
890	100439.0379
891	100432.4186
892	100407.2417
893	100400.7886
894	100374.3764
895	100368.0939
896	100363.4462
897	100357.3349
898	100351.3887
899	100345.6032
900	100339.9739
901	100334.4967
902	100329.1674
903	100323.9821
904	100318.9368
905	100316.5209
906	100302.0251
907	100297.1079
908	100284.2993
909	100274.6345
910	100261.0047
911	100253.5026
912	100245.5435
913	100237.8518
914	100228.6207
915	100222.1326
916	100216.959
917	100209.5105
918	100185.8651
919	100179.765
920	100157.0353
921	100152.7092
922	100146.2352
923	100123.8922
924	100117.1135
925	100110.2334
926	100106.2308
927	100103.9828
928	100101.5394
929	100094.9912
930	100086.9376
931	100085.8416
932	100079.9048
933	100064.7003
934	100059.4266
935	100052.3579
936	100030.5872
937	100009.6407
938	100006.0146
939	100002.4863
940	99999.05327
941	99979.25109
942	99975.88054
943	99970.45603
944	99959.9121
945	99956.73958
946	99951.5663
947	99948.55783
948	99935.52588
949	99929.16825
950	99923.09237
951	99907.19904
952	99904.16202
953	99901.2352
954	99900.23937
955	99899.27043
956	99898.32765
957	99894.75869
958	99893.84128
959	99881.2456
960	99879.0086
961	99871.33627
962	99864.73783
963	99859.81461
964	99858.92205
965	99848.27717
966	99846.15854
967	99844.29777
968	99837.75821
969	99821.18546
970	99809.05074
971	99799.14583
972	99795.48117
973	99780.49297
974	99776.96312
975	99772.28001
976	99755.40521
977	99749.02792
978	99744.49571
979	99740.29388
980	99734.71487
981	99720.83184
982	99702.75947
983	99699.94744
984	99689.84244
985	99687.71912
986	99681.88174
987	99675.95364
988	99665.11361
989	99654.6571
990	99643.72486
991	99637.69555
992	99632.74532
993	99622.65105
994	99615.15209
995	99605.31966
996	99600.62928
997	99594.47978
998	99593.66766
999	99589.32907
